INDEX	INTERNEL_INDEX	ARTICLE_TITLE	PUBLICATION	LOCATION_COUNTRY	LOCATION_EXACT	LOCATION_TYPE	MONTH	YEAR	SERIOUSNESS	INCIDENT	INCIDENT-CRASH	INCIDENT-CRASH-WITH_ENVIRONMENT	TIME_OF_DAY	WEATHER	ROAD_SURFACE	VEHICLE_GENERAL	DRIVER_AGE	DRIVER_GENDER	DRIVER_NAT_LANG	DRIVER_LOCAL?	DISTRACTED	CAUSE_GIS	WRONG_ATTRIBUTES_BREAKDOWN	PERSISTENT	Link1
1	2	"To reach Caldey Island, just drive down the beach and keep going"	The Daily Telegraph (London)	United Kingdom	"@51.6758261,-4.7028566,15.07z"	Urban	2	2015	low	stranded/stuck				no	off-road	car	40	M	yes	no	no	missing or incorrect attributes	transit to ferry		
2	4	Tourists urged to check GPS devices	The Timaru Herald (New Zealand)	New Zealand	"@-44.0428358,170.2357053,11.54z"	Rural	2	2014	medium	stranded/stuck			morning/afternoon	no	dirt road	car	25	M	no	no	no	missing or incorrect attributes	road characteristics		
3	7	Shamokin man remains upbeat despite holidays out of crashed house	"The News-Item (Shamokin, Pennsylvania)"	United States	"@40.7953056,-76.5518458,21z"	Urban	4	2014	medium	crash	crash with environment	building/wall/guardrail/pole		no	paved road	truck	28	M	yes	no	no	instruction/visualization			
4	18	Woman stranded after GPS led her astray	"The Star Phoenix (Saskatoon, Saskatchewan)"	Canada	"@47.1319079,-65.8437431,13.97z"	Rural	3	2011	low	stranded/stuck			evening/night	extreme	dirt road	car	22	F	yes	no	no	incorrect routing preference			
5	19	"Driver in deadly Megabus crash near Syracuse, N.Y., is acquitted of homicide charges"	The Philadelphia Inquirer	United States	"@43.0359578,-76.1768614,12.85z"	Urban	2	2012	major-death	crash	crash with environment	overhead bridge	morning/afternoon	no	paved road	bus	60	M	yes	no	no	missing or incorrect attributes	clearance height		
6	20	Bridge strikes out of control; GPS may be to blame for bad directions	Telegram & Gazette (Massachusetts)	United States	"@42.2437411,-71.8240186,19.16z"	Urban	10	2014	medium	crash	crash with environment	overhead bridge		no	paved road	truck					no	missing or incorrect attributes	clearance height		
7	21	A GOOGLE maps glitch which tells drivers	The Daily Advertiser	Australia	"@-35.1103018,147.3405931,12.28z"	Urban	1	2012	low	detour				no	paved road	car				no	no	incorrect routing preference			
8	22	"Blind Faith Leads Some Astray; Mistakes On Popular App Can Be Annoying, Catastrophic"	Providence Journal	United States	"@43.9675345,-103.3774509,15.9z"	Rural	4	2016	low	detour				no	paved road	car				no	no	toponym disambiguation			
9	26	"Don't rely entirely on GPS navigation system; It's a lesson learned from a tragic case, so take paper map along just in case"	The Vancouver Province (British Columbia)	United States	"@42.1917027,-115.4121767,9.31z"	Rural	5	2011	major-death	stranded/stuck				no	dirt road	car		M	yes	no	no	incorrect routing preference			
10	27	Motorway u-turn advice shocks driver	The New Zealand Herald	New Zealand	"@-36.7967567,174.6366535,13.65z"	Urban	1	2012	low	wrong way				no	paved road	car		M	yes	yes	no	missing or incorrect attributes	traffic rule	YES	
11	31	"For one satnav firm, all roads lead to a tiny village in Austria"	The Daily Telegraph (London)	Austria	"@46.9463842,14.8777569,11.96z"	Rural	11	2015	low	detour				no							no	incorrect routing preference			
